Year,Variable_name,Variable_category,Value
2018,Total income,Financial performance,691859
2018,"Sales, government funding, grants and subsidies",Financial performance,605766
2018,"Interest, dividends and donations",Financial performance,63509
2018,Non-operating income,Financial performance,22583
2018,Total expenditure,Financial performance,597623
2018,Interest and donations,Financial performance,34223
2018,Indirect taxes,Financial performance,7124
2018,Depreciation,Financial performance,19863
2018,Salaries and wages paid,Financial performance,106351
2018,Redundancy and severance,Financial performance,297
2018,Salaries and wages to self employed commission agents,Financial performance,1659
2018,Purchases and other operating expenses,Financial performance,418642
2018,Non-operating expenses,Financial performance,9762
2018,Opening stocks,Financial performance,59433
